key,source,translation
"/menu_advancedGraphics","Advanced Graphics","高级图像设置"
"/settings|_advancedGraphics","Advanced Graphics","高级图像设置"
"/ItemTag_All","All","全部"
"/deathscreen_allhavefailed","All Have Failed","所有玩家已失败"
"/deathscreen_allhavefallen","All Have Fallen","所有玩家已阵亡"
"/settings_menuMusicVolume","Ambience Volume","环境音量"
"/settings_ambientOcclusion","Ambient Occlusion","环境光遮蔽"
"/joinerror_generic","An error occurred while trying to enter this game.","尝试进入游戏时出现了错误。"
"/inventory_aplayerisunderattack","Another player is under attack","另一位玩家在遭受攻击"
"/settings_antiAliasingQuality","Anti-Aliasing Quality","抗锯齿质量"
"/ApocalypsePLUS","Apocalypse Plus","天启+"
"/apply_left_handed_bindings","Apply Left-Handed Bindings","应用左手模式"
"/Cosmetics_ArcticFox","Arctic Fox","北极狐"
"/Cosmetics_Babypig_desc","Are the squeals of delight coming from you or this adorable Baby Pig? Your newest pet is so cute you could eat it up! You could, but you probably shouldn't.","这个欢呼声是来自你还是这只可爱的小猪呢？ 它是如此可爱，甚至可以把它吃掉！ 但你不应该这么做。"
"/Sign_Out_Menu","Are you sure you want to sign out and return to the title screen?","确定退出账号并返回主界面?"
"/Are_You_Sure","Are you sure?","确定吗?"
"/Are_You_Sure_Key","Are you sure?","确定吗?"
"/Are_You_Sure_Menu","Are you sure?","确定吗?"
"/Are_you_Sure","Are you sure?","确定吗?"
"/are_you_sure","Are you sure?","确定吗?"
"/dialog_campConfirm","Are you sure?","确定吗?"
"/dialog_desktopConfirm","Are you sure?","确定吗?"
"/dialog_menuConfirm","Are you sure?","确定吗?"
"/joinOtherGame_AreYouSure","Are you sure?","确定吗?"
"/kickPlayer_AreYouSure","Are you sure?","确定吗?"
"/ItemTag_Armor","Armor","护甲"
"/UI_Armor","Armor","护甲"
"/HUD_ArrowsFired","Arrows Fired","箭矢射出数"
"/HUD_ArrowsHit","Arrows Hit","箭矢命中数"
"/statuseffect_damagesynergy","Artifact Synergy","法器协同"
"/UIHints_ArtifactInInventoryTitle","Artifact in inventory","取得法器"
"/ItemTag_Items","Artifacts","法器"
"/menu_audio","Audio","音频"
"/settings_audio","Audio","音频"
"/auto_pickup","Auto Pick Up","自动拾取"
"/settings_autoMute","Auto-Mute Game","自动静音"
"/hud_awaitrescue","Await rescue","等待救援"
"/menu_b_join","B TO JOIN","按B以加入"
"/cosmetic_babychicken","Baby Chicken","鸡宝宝"
"/Cosmetics_BabyGhast_name","Baby Ghast","恶魂宝宝"
"/Cosmetics_babygoat_name","Baby Goat","山羊宝宝"
"/Costmetics_Babypig","Baby Pig","猪宝宝"
"/Cosmetic_BabyTurtle","Baby Turtle","海龟宝宝"
"/Back_Char","Back","返回"
"/Menu_Back","Back","返回"
"/button_back","Back","返回"
"/inv_back","Back","返回"
"/keybind_back","Back","返回"
"/nav_back","Back","返回"
"/settings_graphics_balanced","Balanced","中等"
"/RaidCaptain_unlockText","Be careful hero, Raid Captains have been spotted in the area and could show up in any mission you have already completed.<lf><lf>The Raid Captains have a bounty on their heads, take them out to receive additional rewards!","小心，此地区已经发现了袭击队长，会随机出现在已完成的任务中。
项上人头有悬赏，更多奖励终局享！"
"/missioninspector_tooeasy","Below Minimum Difficulty","低于最低难度"
"/Bind_Always","Bind Always","总是占用"
"/Bind_FullScreen","Bind Fullscreen","仅限全屏"
"/Bind_Never","Bind Never","永不占用"
"/Cosmetics_cape_birthdayCape","Birthday Cape","生日披风"
"/statuseffect_blind","Blind","失明"
"/HUD_BlocksWalkedOn","Blocks Walked On","途经的方块"
"/settings_bloom","Bloom","泛光效果"
"/settings_display_borderless","Borderless Windowed","无边框窗口"
"/boss_no_name","Boss","Boss"
"/statuseffect_burning","Burning","灼烧"
"/keybind_problem","Button Binding Conflict","按键绑定冲突"
"/start_game_mode_change","CHANGE","更改"
"/button_claim_reward","CLAIM REWARD","领取奖励"
"/title_ConfigureOnlinePlay","CONFIGURE ONLINE PLAY","配置在线游戏"
"/Button_CurrentXP","CURRENT XP","当前经验值"
"/Button_Cancel","Cancel","   取消   "
"/HUD_Cancel","Cancel","   取消   "
"/TowerRewardCancel","Cancel","   取消   "
"/action_cancel","Cancel","   取消   "
"/chatWheel_cancel","Cancel","   取消   "
"/dialog_cancel","Cancel","   取消   "
"/inv_cancel","Cancel","   取消   "
"/keybind_cancel","Cancel","   取消   "
"/sidebar_cancel","Cancel","   取消   "
"/teleportlist_cancel","Cancel","   取消   "
"/Button_CancelMission","Cancel Mission","取消任务"
"/statuseffect_chained","Chained","链锁"
"/difficultychanger_change","Change","更改"
"/Welcome_Body_2","Change your Microsoft Account Settings and learn more at: ","欲更改你的Microsoft账号设置及了解更多，请前往："
"/characterPicker_inUse","Character In Use","正在使用此角色"
"/statuseffect_ChargedArrows","Charged arrows","蓄力箭矢"
"/Quickaction_chat","Chat","聊天"
"/chatWheelShortcuts_title","Chat Wheel Shortcuts","快捷聊天"
"/Privileges_CheckingTitle","Checking Privileges","检查权限中"
"/Privileges_CheckingBody","Checking privileges with server.  Please wait...","检查与服务器的权限。请稍候..."
"/Mission_ChestsFound","Chests Found","找到的宝箱"
"/mapstat_chests","Chests Opened","打开的宝箱"
"/UIHints_ChatWheelSelect_Title","Choose a message","选择一条消息"
"/Cinematics_Button","Cinematics","过场动画"
"/Claim","Claim","领取"
"/HUD_UnlockChest","Claim","领取"
"/postgame_claimreward","Claim Reward","领取奖励"
"/nav_clear","Clear","清除"
"/Clone_Nav_Key","Clone","复制"
"/Close_Key","Close","关闭"
"/HUD_Close","Close","关闭"
"/close","Close","关闭"
"/sidebar_close","Close","关闭"
"/missionSelected_Collapse","Collapse","折叠"
"/HUD_ComeHere","Come Here!","来这！"
"/Popup_Body_Coming_Soon","Coming soon!","即将到来！"
"/enchantment_rarity_common","Common","普通"
"/rarity_common","Common","普通"
"/UnlockRequirements_completedAny","Completed any mission on","完成所有任务"
"/UnlockRequirements_completedMissionsOn","Completed missions on","已完成的任务"
"/game_ConfigureCross-Play","Configure Cross-Platform Play","配置跨平台游戏"
"/game_ConfigureOnlinePlay","Configure Online Play","在线游戏设置"
"/action_confirm","Confirm","   确认   "
"/dialog_confirm","Confirm","   确认   "
"/Message_ConnectionDropped","Connection Dropped","连接已断开"
"/Message_ConnectionFailed_Title","Connection failure","连接失败"
"/Message_ConnectionLost_Title","Connection lost","连接丢失"
"/Message_ConnectionTimeout_Title","Connection timeout","连接超时"
"/Message_connectFail","Connection to the server has been lost.","与服务器的连接丢失。"
"/menu_controller","Controller","手柄"
"/settings_controller","Controller","手柄"
"/menu_controllerMap","Controller Map","手柄键位"
"/ItemTag_Cosmetics","Cosmetics","装饰品"
"/statuseffect_cowardice","Cowardice","胆怯"
"/menu_createHero","Create New","新建角色"
"/Button_Credits","Credits","制作人员列表"
"/settings_credits","Credits","制作人员列表"
"/Health_currentHealth","Current Health {Value}","当前生命值 {Value}"
"/language_CurrentLanguage","Current Language: ","当前语言： "
"/Setting_Cursor_Binding","Cursor Binding","鼠标占用方式"
"/label_custom","Custom","自定义"
"/settings_customiseControls","Customize Controls","更改按键"
"/title_customize_controls","Customize Controls","更改按键"
"/settings_customiseControls_hint","Customize the controls.","更改按键。"
"/dlc_badge_name","DLC","DLC"
"/missionvariation_daily","Daily Trial","每日挑战"
"/missionvariation_dailycompletedtemplate","Daily Trials Completed {0}/{1}","每日挑战已完成 {0}/{1}"
"/HUD_DamageDone","Damage Done","总伤害"
"/settings_deadzoneLeft","Dead Zone Left Stick","左摇杆死区"
"/settings_deadzoneRight","Dead Zone Right Stick","右摇杆死区"
"/statuseffect_DeathBarter","Death Barter","死亡交易"
"/statuseffect_deathBarter","Death Barter","死亡交易"
"/nav_defaults","Defaults","恢复默认"
"/Delete_Nav_Button","Delete","删除"
"/delete_character","Delete Character","删除角色"
"/cloudsave_DeleteHero","Delete Hero","删除存档"
"/statuseffect_DenseBrew","Dense Brew","浓稠之酿"
"/settings_dialogueVolume","Dialogue Volume","对话音量"
"/disable_crossplatform_play","Disable Cross-Platform Play?","禁用跨平台游戏？"
"/Message_DisconnectedFromHost_Title","Disconnected","已断开"
"/Message_DisconnectedFromHost","Disconnected from the server.","已从服务器断开连接。"
"/menu_displayGraphics","Display / Graphics","显示 / 图像"
"/settings_displaygraphics","Display / Graphics","显示 / 图像"
"/settings_displayMode","Display Mode","显示模式"
"/Clone_Key","Do you want to clone this character?","你想要复制角色吗?"
"/Delete_Char","Do you want to delete this character?","你想要删除角色吗?"
"/statuseffect_DolphinsGrace","Dolphins Grace","海豚的恩惠"
"/pet_zombifiedbabypig_desc","Don't let a little zombification stand in the way of friendship! Give this plucky piglet a chance (just ignore the smell).","区区僵尸化，不应成为你与这只小猪间的友谊隔阂！再给可爱的小猪一次机会吧（也许忽略掉气味就好了）。"
"/pet_babychicken_description","Don't take a baby chicken into combat - unless that baby chicken is really cute. Luckily, this one is.","不要把鸡宝宝带上战场——除非他真的很可爱。但很幸运，这一只就是。"
"/edit_text_done","Done","完成"
"/menu_done","Done","完成"
"/EquipArtifactHintTouch","Double Tap the Firework Arrows to equip them.","双击烟花火箭来装备它们。"
"/cloudsave_DownloadHero","Download Hero","下载存档"
"/menu_DownloadHero","Download Hero","下载存档"
"/cloudsave_downloadSuccess","Download Successful","下载成功"
"/debuf_drowning","Drowning!","溺水中！"
"/statuseffect_dynamoMelee","Dynamo","精力充沛"
"/statuseffect_dynamoRanged","Dynamo","精力充沛"
"/eula_title","EULA","最终用户许可协议"
"/settings_graphics_hint","Easily adjusts the graphics quality of the game. For more options check Advanced Graphics.","快捷调整游戏画质。想更进一步请前往高级图像设置。"
"/nav_edit","Edit","编辑"
"/quickActions_Emote","Emote","动作"
"/cloudsave_EmptySlot","Empty Slot","此栏为空"
"/enchantment_slot_empty","Empty Slot","空槽位"
"/inv_enchant","Enchant","附魔"
"/UIHints_EnchantSelectGearTitle","Enchant gear","进行附魔"
"/ItemTag_Enchanted","Enchanted","附魔"
"/mob_prefix_enchanted","Enchanted {0}","附魔 {0}"
"/UIHints_EnchantingOpenInventoryTitle","Enchanting","关于附魔"
"/UIHints_EnchantmentPointsGainedTitle","Enchantment Points","关于附魔点数"
"/Message_EnchantMentPointEarned","Enchantment point earned","已获取附魔点数"
"/Inv_Enchantments","Enchantments","魔咒"
"/Menu_Enchantments","Enchantments","魔咒"
"/pet_endermite_name","Endermite","末影螨"
"/HUD_EnemiesKilled","Enemies Defeated","敌人击败数"
"/HUD_EnemiesHit","Enemies Hit","敌人命中数"
"/difficulty_easy_description","Enemies are balanced for a first playthrough","敌人的难度适合新手玩家"
"/difficulty_normal_description","Enemies are hard to defeat and hit hard","敌人将会难以击杀"
"/difficulty_plus_description","Enemies are powered up to extreme levels","敌人的等级将超越原先的最高难度"
"/difficulty_hard_description","Enemies are ultra beefy and ultra punishing","大幅提高敌人的攻击和生命"
"/plus_enchants","Enemies move faster, hit harder and can even respawn","敌人将拥有更快的移动速度，更强的攻击力，甚至可以重生"
"/use_code","Enter this code","输入此代码"
"/TowerRewardEquip","Equip","装备"
"/autoCategory_Equip","Equip","装备"
"/cosmetic_equip","Equip","装备"
"/UIHints_EquipArtifactTitle","Equip artifact","装备你的法器"
"/slot_equipped","Equipped","已装备"
"/Error_Online","Error","错误"
"/even_more_artifacts","Even more gear and artifacts available","更多的装备和法器"
"/event_ends_in","Event Ends In:","活动结束于："
"/Event_name_text","Event Name","事件名称"
"/UIHints_EnchantingOpenInventoryDescription","Every level up gives you an Enchantment Point, which are used to upgrade items. Open the inventory to try it out.","每次升级都会得到附魔点数，可以用来强化物品。打开物品栏试试吧。"
"/E385C65444C2796BAB1AD2A79302B3AC","Everyone","所有人"
"/Button_Exit","Exit","退出"
"/Exit_Button","Exit","退出"
"/credits_exit","Exit","退出"
"/Menu_ExitTutorial","Exit Tutorial","退出教学"
"/missionSelected_Expand","Expand","展开"
"/settings_fpsCounter","FPS Counter","显示帧率"
"/settings_fpsLimit","FPS Limit","帧率限制"
"/hotbar_inventory_full","FULL!","已满！"
"/Message_FailedToCreate","Failed to create online game session. Please try again later.","创建游戏会话失败。请稍后再试。"
"/games_failed_to_search_for_games","Failed to search for games","游戏搜索失败"
"/settings_graphics_fanciest","Fanciest","最高"
"/settings_graphics_fancy","Fancy","高"
"/settings_graphics_fast","Fast","快"
"/settings_graphics_fastest","Fastest","最低"
"/feeling_alone","Feeling lonely?","落伍了？"
"/UIHInts_FeelingLostTitle","Feeling lost?","迷路了？"
"/UIHint_FindTheObjectiveTitle","Find the objective","找到目标"
"/statuseffect_flee","Flee","冲刺"
"/UIHint_FindTheObjectiveDescription","Follow the navigation marker to reach your current objective.","跟随指示点前往目标处。"
"/statuseffect_freezingResistance","Freezing Resistance","霜冻抗性"
"/statuseffect_frenzied","Frenzied","狂暴"
"/friend_has_fallen","Friend has fallen","好友已阵亡"
"/Menu_Friends","Friends","好友"
"/Quickaction_Friends","Friends","好友"
"/FriendsNotFound","Friends Not Found","未找到好友"
"/F776589442EB369BDB0810844EF391BD","Friends Only","仅限好友"
"/statuseffect_frozen","Frozen","冰冻"
"/Menu_FullScreen","Full Screen","全屏"
"/settings_display_fullscreen","Fullscreen","全屏"
"/Gear_Drops_Label","GEAR DROPS","掉落物"
"/menu_game","Game","游戏"
"/settings_game","Game","游戏"
"/deathscreen_gameover","Game Over","游戏结束"
"/deathscreen_lastlifewarning_friends","Game Over next time all players fall","下一次所有玩家死亡将会结束游戏"
"/deathscreen_lastlifewarning_solo","Game Over next time you die","下一次死亡将会结束游戏"
"/joinerror_gameNoLongerExist","Game no longer exists.","游戏已过期"
"/Popup_GameOver","Game over","游戏结束"
"/statuseffect_ghostform","Ghost Form","幽灵形态"
"/xal_goOnline","Go Online","上线"
"/settings_graphics","Graphics","画质"
"/Button_Great","Great!","棒极了！"
"/enchantment_GuardingStrike","Guarding Strike","守卫攻击"
"/Hud_Scale_Setting","HUD Scale","HUD 缩放"
"/settings_hudScale","HUD Scale","HUD 缩放"
"/cape_hammercape","Hammer Cape","大锤披风"
"/HUD_HardestBlow","Hardest Blow","最高伤害"
"/statuseffect_HealingAura","Healing Aura","治愈光环"
"/HUD_HealthPotionsUsed","Health Potions Used","使用治疗药水数"
"/label_healedHealthRemaining","Health Remaining {Current} out of {Max}","生命值共有{Max}，剩余{Current}"
"/cape_herocape","Hero Cape","英雄披风"
"/button_HeroSettings","Hero Settings","存档设置"
"/Setting_High","High","高"
"/settings_high","High","高"
"/Hold&Release_Toggle","Hold & Release","长按并释放"
"/Button_HoldToConfirm","Hold to confirm","长按确认"
"/4D934F2B4AC62B15C4A2E1AD911948E7","Hooks","钩子"
"/Menu_Host","Host","房主"
"/merchant_inventory_full_description","However, your inventory is full, so you'll need to salvage some items before you can make a trade.","物品栏已满，请分解物品后再进行交易。"
"/Inventory_Full_Key","INVENTORY FULL","物品栏已满"
"/Should_Be_Visible","Icon should be barely visible","图像勉强可以看见"
"/menu_brightnessIconVisible","Icon should be barely visible","图像勉强可以看见"
"/Not_Visible","Icon should not be visible","图像应该看不见"
"/menu_brightnessIconNotVisible","Icon should not be visible","图像应该看不见"
"/Account_Link_ps4_note2","If you are already using an existing Microsoft Account to access other Minecraft products on other devices, you may wish to use that account. You can only do this once per account on PlayStation™Network, so please choose your Microsoft Account carefully.","如果你已使用过现有的 Microsoft 账户在其它设备上登录过其它 Minecraft 相关应用，则我们建议使用此账户。在 PlayStation™Network 上每个账号只能进行一次登录操作，所以请谨慎选择要登录的 Microsoft 账号。"
"/pathfinder_hint","If you find it hard to navigate, you may find the pathfinding mechanic helpful.","要是找不到路的话，寻路机制可能会帮到你。"
"/UIHints_PoppingDescription","If you stray too far from each other, you will automatically be popped back to the leading player.","如果你距离其他玩家过远，将会被自动传送到主玩家旁。"
"/autopickup_test","If you want to save a bit of time, you can have all items automatically picked up when walked over.","如果想节省一些时间，你可以自动捡起路过的所有物品。"
"/Account_Link_Body_2","In the next step, you will be given instructions on how to sign in using another device, such as a phone or a tablet. If you choose not to link your accounts now, you may do so at any time in the <Highlight>Game Settings Menu</> by selecting <Highlight>”Configure Online Play”</>.","下一步，将为您提供有关如何使用其他设备（例如手机或平板电脑）登录的说明。如果您选择现在不关联帐户，则可以随时在<Highlight>游戏设置菜单</>中通过选择<Highlight>“配置在线游戏” </>来进行关联。"
"/Account_Link_Body2_ps4","In the next step, you will be given instructions on how to sign in using another device, such as a phone or a tablet. If you choose not to link your accounts now, you may do so at any time in the <Highlight>Game Settings Menu</> by selecting <Highlight>”Cross-Platform Play”</>.","下一步，将为您提供有关如何使用其他设备（例如手机或平板电脑）登录的说明。如果您选择现在不关联帐户，则可以随时在<Highlight>游戏设置菜单</>通过选择<Highlight>“跨平台游戏” </>来进行关联。"
"/pet_arctic_fox_origin","Included in the Creeping Winter DLC.","包含在悚伏寒冬DLC中。"
"/pet_endermite_origin","Included in the Echoing Void DLC.","包含在虚空回响DLC中。"
"/pet_baby_ghast_origin","Included in the Flames of the Nether DLC.","包含在下界之焰DLC中。"
"/cape_hero_origin","Included in the Hero Edition, Hero Pass, Ultimate Edition, and the Ultimate DLC Bundle.","包含在英雄版、英雄通行证、终极版和终极版DLC捆绑包中。"
"/pet_baby_chicken_origin","Included in the Hero Edition, Hero Pass, Ultimate Edition, and the Ultimate DLC Bundle.","包含在英雄版、英雄通行证、终极版和终极版DLC捆绑包中。"
"/pet_baby_turtle_origin","Included in the Hidden Depths DLC.","包含在隐秘深渊DLC中。"
"/pet_baby_goat_origin","Included in the Howling Peaks DLC.","包含在嚎风山巅DLC中。"
"/pet_parrot_origin","Included in the Jungle Awakens DLC.","包含在觉醒丛林DLC中。"
"/Quickaction_inventory","Inventory","物品栏"
"/friends_invite","Invite","邀请"
"/invite_invite","Invite","邀请"
"/invite_failed","Invite Failed","邀请失败"
"/close_invite_pending","Invite Pending","等待邀请"
"/invite_sent","Invite Sent","邀请已发出"
"/invite_by","Invite by {0}","由 {0} 邀请"
"/cape_irongolemcape","Iron Golem Cape","铁傀儡披风"
"/difficulty_plus_rules","Item rewards have significantly higher power levels","带来更高的奖励物等级"
"/HUD_ItemsUsed","Items Used","使用物品数"
"/Button_Join","Join","加入"
"/Menu_Join","Join","加入"
"/friends_join","Join","加入"
"/xal_pinJoin","Join Game Via Pin","通过Pin码加入游戏"
"/JoinSessionFailure_Title","Join Session Failure","加入会话失败"
"/partyinvite_solo","Join my party","加入我的队伍"
"/joinOtherGame_Title","Join other game","加入其他游戏"
"/partyinvite_mp","Join our party","加入我们的队伍"
"/button_keep_item","KEEP OLD ITEM","保留旧物品"
"/Keep_This_Loot","KEEP THIS","保留此项"
"/key_bindings","Key Bindings","设置键位"
"/settings_keybindings","Key Bindings","设置键位"
"/kickPlayer_Title","Kick {0}","踢出{0}"
"/Message_Kicked","Kicked","成功踢出"
"/UIHint_KillTheZombieTitle","Kill the zombie","击杀僵尸"
"/HUD_Level","LEVEL","等级"
"/HUD_LevelUp","LEVEL UP","升级!"
"/Message_LevelUp","LEVEL UP","升级!"
"/Other_Item","LONG BOW","长弓"
"/hotbar_level_counter_LV","LV","等级"
"/Settings_language","Language","语言"
"/title_language","Language","语言"
"/settings_languageSelect","Language Select","选择语言"
"/deathscreen_lastchance","Last Chance","最后一次机会"
"/HUD_LeastDamageTaken","Least Damage Taken","受到伤害最低"
"/xal_leave","Leave","离开"
"/Leave_Game_Button","Leave Game","离开游戏"
"/nav_lefthanded","Left-Handed","左手模式"
"/UnlockRequirements_level","Level","等级"
"/Popup_LevelUnlocked","Level Unlocked","关卡已解锁"
"/postgame_level_complete","Level complete","恭喜过关"
"/statuseffect_LevitationShot","Levitation Shot","飘浮射击"
"/settings_Licenses","Licenses","授权许可"
"/settings_lightbarEffects","Light Bar Effects","光栏效果"
"/Nav_Link_Account","Link Account","关联账号"
"/deathscreen_livesleft","Lives Left","剩余生命数"
"/lives","Lives:","生命数："
"/cloudsave_LocalSavesFull","Local Saves Full","本地存档已满"
"/mission_locked","Locked","已锁定"
"/eula_text","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Elit ut aliquam purus sit amet. Vestibulum rhoncus est pellentesque elit ullamcorper. Suscipit tellus mauris a diam maecenas sed enim. Nibh tortor id aliquet lectus. Aliquam purus sit amet luctus venenatis lectus magna fringilla. Nullam vehicula ipsum a arcu cursus. Imperdiet proin fermentum leo vel orci porta non. Amet nisl purus in mollis nunc sed id semper risus. Sed vulputate odio ut enim blandit volutpat maecenas. In ornare quam viverra orci sagittis. Libero nunc consequat interdum varius. Eget magna fermentum iaculis eu non. Lobortis feugiat vivamus at augue eget arcu dictum varius. Ac felis donec et odio pellentesque diam volutpat commodo sed. Pellentesque elit ullamcorper dignissim cras. Sit amet consectetur adipiscing elit ut aliquam purus sit.Interdum velit euismod in pellentesque massa placerat duis ultricies. Elementum pulvinar etiam non quam. Egestas erat imperdiet sed euismod nisi porta. Nisl vel pretium lectus quam id. Et malesuada fames ac turpis egestas integer. Justo laoreet sit amet cursus sit amet dictum sit. Donec et odio pellentesque diam volutpat commodo sed egestas egestas. Donec ac odio tempor orci dapibus ultrices in. Id volutpat lacus laoreet non curabitur gravida. Non odio euismod lacinia at. Faucibus purus in massa tempor nec feugiat nisl.Amet nisl suscipit adipiscing bibendum est. Interdum varius sit amet mattis vulputate enim nulla aliquet. Sit amet aliquam id diam. Tortor vitae purus faucibus ornare suspendisse. Hendrerit dolor magna eget est lorem ipsum dolor. Ac felis donec et odio pellentesque diam volutpat. Senectus et netus et malesuada fames ac turpis. Consectetur purus ut faucibus pulvinar elementum integer enim. Orci porta non pulvinar neque laoreet suspendisse interdum consectetur libero. Proin sagittis nisl rhoncus mattis rhoncus. Mi in nulla posuere sollicitudin aliquam.Nam aliquam sem et tortor consequat id porta. Arcu dui vivamus arcu felis bibendum ut tristique et. Eu mi bibendum neque egestas congue quisque egestas. Arcu cursus vitae congue mauris rhoncus aenean. Nunc congue nisi vitae suscipit. Cursus euismod quis viverra nibh cras pulvinar. Velit aliquet sagittis id consectetur purus. Sapien et ligula ullamcorper malesuada proin. Molestie at elementum eu facilisis sed odio morbi quis commodo. Vitae semper quis lectus nulla. Bibendum arcu vitae elementum curabitur. Non diam phasellus vestibulum lorem sed risus ultricies tristique nulla. Urna neque viverra justo nec. Volutpat est velit egestas dui. Convallis convallis tellus id interdum velit laoreet id donec. Lectus urna duis convallis convallis tellus id interdum velit.Nullam eget felis eget nunc lobortis mattis aliquam. Velit euismod in pellentesque massa placerat duis ultricies. At erat pellentesque adipiscing commodo elit at imperdiet dui accumsan. Viverra nibh cras pulvinar mattis. Dictum sit amet justo donec enim. Scelerisque mauris pellentesque pulvinar pellentesque habitant morbi. Est velit egestas dui id ornare. Quis risus sed vulputate odio ut enim blandit volutpat maecenas. Natoque penatibus et magnis dis parturient. Massa placerat duis ultricies lacus sed turpis. Urna cursus eget nunc scelerisque viverra mauris.","。。。。。。"
"/powerful_enchants","Lots of enemies with powerful enchantments","敌人将有大概率附有强大魔咒"
"/Particle_Low","Low","低"
"/settings_low","Low","低"
"/UIHint_LowHealthTitle","Low Health","生命值较低"
"/slot_melee","MELEE","近战"
